m,bias,alphasc,beta,init,reg_type,value
18,False,2.5,0.1,4,-,6.640738206660458e-17
18,False,3.0,0.1,4,-,6.640738206660458e-17
18,False,3.0,0.1,2,-,6.640738206660458e-17
18,False,2.5,0.1,2,-,6.640738206660458e-17
18,False,2.5,0.1,1,-,6.640738206660458e-17
18,True,2.5,0.2,2,typex,6.640738206660458e-17
18,True,1.5,0.1,3,typex,6.640738206660458e-17
18,True,1.5,0.1,2,typex,6.640738206660458e-17
18,True,2.5,0.1,1,typey,6.640738206660458e-17
18,True,2.0,0.1,3,typex,6.640738206660458e-17
60,False,6.0,0.1,4,-,2.9204774988539048e-05
60,False,7.0,0.0,3,-,3.1464164114222106e-05
60,False,3.0,0.0,4,-,3.8658162947819424e-05
60,False,5.0,0.0,4,-,4.1973289993016206e-05
60,False,4.0,0.0,3,-,4.417716013619053e-05
60,True,1.0,0.1,3,typex,2.4056924780277917e-05
60,True,1.5,0.0,4,typex,2.6580543360262057e-05
60,True,1.5,0.0,4,typey,2.6580543360262057e-05
60,True,3.0,0.0,4,typex,3.6032315753275594e-05
60,True,3.0,0.0,4,typey,3.6032315753275594e-05
210,False,1.5,0.0,0,-,2.9654167723851197e-05
210,False,0.5,0.0,1,-,3.1117008617196326e-05
210,False,0.5,0.0,3,-,3.2151530457558485e-05
210,False,1.0,0.0,0,-,3.735060532049428e-05
210,False,0.5,0.0,2,-,4.009984250495293e-05
210,True,0.5,-0.1,3,typey,2.934379274555613e-05
210,True,10.0,0.2,0,typey,3.387746396858538e-05
210,True,0.5,0.0,3,typex,3.4488315157004625e-05
210,True,0.5,0.0,3,typey,3.4488315157004625e-05
210,True,2.5,0.0,0,typey,3.605169336697811e-05
756,False,0.5,0.0,4,-,1.9405990326590408e-05
756,False,0.5,0.0,2,-,2.0116572361528563e-05
756,False,0.5,0.0,0,-,2.0734297264003504e-05
756,False,1.0,0.0,2,-,2.3210344978416554e-05
756,False,1.0,0.0,3,-,2.410843538231431e-05
756,True,0.5,0.0,3,typex,1.4778310306053208e-05
756,True,0.5,0.0,3,typey,1.4778310306053208e-05
756,True,0.5,0.0,0,typex,2.0533377557798568e-05
756,True,0.5,0.0,0,typey,2.0533377557798568e-05
756,True,0.5,0.0,4,typex,2.33136997919304e-05
2772,False,0.1,0.0,1,-,1.245895199795369e-05
2772,False,0.1,0.0,2,-,1.318695699931147e-05
2772,False,0.1,0.0,3,-,1.4726945863378553e-05
2772,False,0.1,0.0,0,-,1.6386123882844316e-05
2772,False,0.1,0.0,4,-,1.71019277602669e-05
2772,True,0.1,0.0,1,typey,1.234322463487892e-05
2772,True,0.1,0.0,1,typex,1.255022963441916e-05
2772,True,0.1,0.0,0,typey,1.3620662449445596e-05
2772,True,0.1,0.0,2,typey,1.3995676317155896e-05
2772,True,0.1,0.0,0,typex,1.4368636866711237e-05
